PCA Variance;Batch Size;Epochs;Train acc;Test acc;Test std
0.9;32;20;0.782396078;0.534789139;0.03369588
0.9;32;20;0.806179166;0.532393539;0.021512887
0.9;32;20;0.789731026;0.534292036;0.027039432
0.9;32;30;0.829073131;0.557890487;0.018626514
0.9;32;30;0.841742635;0.543252742;0.027684229
0.9;32;30;0.832851768;0.557829893;0.035097359
0.9;32;50;0.882196069;0.539035928;0.011169647
0.9;32;50;0.891531467;0.526422405;0.006614994
0.9;32;50;0.876639247;0.528518015;0.025972948
0.9;64;20;0.761947095;0.550698364;0.026171075
0.9;64;20;0.767059326;0.543157721;0.022763135
0.9;64;20;0.771060228;0.541749334;0.021027605
0.9;64;30;0.809290946;0.52066077;0.02429445
0.9;64;30;0.807290494;0.541859341;0.021401838
0.9;64;30;0.8059569;0.533253992;0.027127708
0.9;64;50;0.862858415;0.538045287;0.014272782
0.9;64;50;0.853745282;0.55487721;0.024914947
0.9;64;50;0.866637051;0.536403561;0.020216
0.9;128;20;0.731495917;0.530339605;0.027142854
0.9;128;20;0.730606794;0.540169191;0.022831171
0.9;128;20;0.732829511;0.528547025;0.021405728
0.9;128;30;0.765503466;0.537863231;0.017981539
0.9;128;30;0.770837963;0.533227038;0.021488511
0.9;128;30;0.771282494;0.526762629;0.019146857
0.9;128;50;0.820849061;0.541302371;0.02277072
0.9;128;50;0.820849061;0.523598689;0.02225965
0.9;128;50;0.818404078;0.546718025;0.009960137
0.95;32;20;0.841075778;0.563298166;0.01592534
0.95;32;20;0.835741282;0.552596033;0.029891063
0.95;32;20;0.83840853;0.5554052;0.002142498
0.95;32;30;0.885307848;0.559053218;0.025806366
0.95;32;30;0.886641502;0.550152159;0.007122959
0.95;32;30;0.877306044;0.537482798;0.017961143
0.95;32;50;0.940431178;0.527604413;0.016743747
0.95;32;50;0.936430335;0.542606699;0.012035297
0.95;32;50;0.935541213;0.539462984;0.01905177
0.95;64;20;0.797510564;0.549909902;0.016756838
0.95;64;20;0.811069131;0.555811489;0.01666208
0.95;64;20;0.805067778;0.530610704;0.032744497
0.95;64;30;0.85330075;0.556276345;0.016963319
0.95;64;30;0.849299848;0.541274059;0.022252692
0.95;64;30;0.852411628;0.558741808;0.028073234
0.95;64;50;0.911758184;0.555132198;0.00594543
0.95;64;50;0.894198716;0.538132083;0.017451892
0.95;64;50;0.912869513;0.556615496;0.02204483
0.95;128;20;0.76839298;0.55313251;0.019335585
0.95;128;20;0.771949351;0.547711372;0.016013819
0.95;128;20;0.765503466;0.550257993;0.021226075
0.95;128;30;0.804178715;0.554068851;0.0183573
0.95;128;30;0.815292299;0.541189194;0.030317709
0.95;128;30;0.810180068;0.54830575;0.021478129
0.95;128;50;0.868415177;0.55741955;0.014730788
0.95;128;50;0.863525212;0.54618032;0.02259885
0.95;128;50;0.862858415;0.553352654;0.021646962
0.98;32;20;0.877306044;0.547462916;0.028555728
0.98;32;20;0.880195618;0.553784299;0.015079868
0.98;32;20;0.8826406;0.561864817;0.020987952
0.98;32;30;0.924649894;0.548770833;0.018144158
0.98;32;30;0.928428531;0.557691622;0.00686908
0.98;32;30;0.927539468;0.549279749;0.017605216
0.98;32;50;0.966881514;0.553366113;0.00728477
0.98;32;50;0.9773283;0.555793226;0.020995474
0.98;32;50;0.974438787;0.552681351;0.0168664
0.98;64;20;0.848633051;0.559190381;0.017887438
0.98;64;20;0.836630344;0.555253267;0.019669345
0.98;64;20;0.847966194;0.561982381;0.025941746
0.98;64;30;0.893309653;0.564332104;0.022840547
0.98;64;30;0.893754184;0.554196453;0.021040525
0.98;64;30;0.895754635;0.564451778;0.0095581
0.98;64;50;0.953322947;0.553613651;0.012137018
0.98;64;50;0.945098937;0.574353802;0.030627765
0.98;64;50;0.947766185;0.550926363;0.015890973
0.98;128;20;0.797288299;0.555949962;0.012400559
0.98;128;20;0.808179617;0.568974686;0.012067885
0.98;128;20;0.795065582;0.558188462;0.026788355
0.98;128;30;0.847299397;0.544585866;0.035740083
0.98;128;30;0.850633502;0.557523334;0.017477551
0.98;128;30;0.845965743;0.567847931;0.021207671
0.98;128;50;0.909979999;0.554293144;0.027116056
0.98;128;50;0.904645503;0.554039967;0.024807345
0.98;128;50;0.904645503;0.561610091;0.032603041
0.99;32;20;0.890642345;0.545455015;0.022520329
0.99;32;20;0.890197814;0.567172575;0.023800672
0.99;32;20;0.886196911;0.571920896;0.026810989
0.99;32;30;0.938653052;0.556793439;0.025128037
