Batch_size;Epochs;Modello;Train_acc;Test_acc;Test_acc_std
32;30;mfcc_cnn;0.970215619;0.541450447;0.033340268
32;30;mfcc_cnn;0.984440982;0.56543678;0.031660787
32;30;mfcc_cnn;0.983551919;0.564792824;0.017477112
32;40;mfcc_cnn;0.981996;0.548572826;0.028991554
32;40;mfcc_cnn;0.977550566;0.527189165;0.042492947
32;40;mfcc_cnn;0.989330947;0.5654091;0.028596071
32;50;mfcc_cnn;0.981106937;0.556351733;0.022364442
32;50;mfcc_cnn;0.983996451;0.529115903;0.020664741
32;50;mfcc_cnn;0.98866415;0.558836234;0.017050328
32;70;mfcc_cnn;0.994665504;0.5351758;0.025333393
32;70;mfcc_cnn;0.995554566;0.533417398;0.033751911
32;70;mfcc_cnn;0.99333185;0.547933042;0.04258107
64;30;mfcc_cnn;0.970882416;0.53098973;0.017416552
64;30;mfcc_cnn;0.97066015;0.541441166;0.023578425
64;30;mfcc_cnn;0.970882416;0.571472239;0.021211842
64;40;mfcc_cnn;0.977106035;0.557353008;0.027742796
64;40;mfcc_cnn;0.998888671;0.563055778;0.027360843
64;40;mfcc_cnn;0.981996;0.569201064;0.042168155
64;50;mfcc_cnn;0.994665504;0.559467661;0.023449005
64;50;mfcc_cnn;0.993998647;0.546899426;0.024276707
64;50;mfcc_cnn;0.991109133;0.552183771;0.038388389
64;70;mfcc_cnn;0.985996902;0.554710126;0.011528728
64;70;mfcc_cnn;0.984663248;0.503203875;0.047243923
64;70;mfcc_cnn;0.991998196;0.584180629;0.030518432
128;30;mfcc_cnn;0.939542115;0.545669127;0.027037909
128;30;mfcc_cnn;0.939542115;0.532846564;0.03027754
128;30;mfcc_cnn;0.922649503;0.541716552;0.01322646
128;40;mfcc_cnn;0.957768381;0.517902923;0.02212504
128;40;mfcc_cnn;0.968881965;0.578819621;0.016816042
128;40;mfcc_cnn;0.968659699;0.560171056;0.014883213
128;50;mfcc_cnn;0.955323398;0.535500431;0.022856752
128;50;mfcc_cnn;0.974438787;0.55844003;0.041376405
128;50;mfcc_cnn;0.987552762;0.556076896;0.040926885
128;70;mfcc_cnn;0.992887318;0.557470787;0.027496752
128;70;mfcc_cnn;0.992220521;0.545919085;0.008290172
128;70;mfcc_cnn;0.985774636;0.590695333;0.026096845
32;30;mel_cnn;0.778395176;0.611833632;0.035951336
32;30;mel_cnn;0.738830864;0.596674824;0.049977665
32;30;mel_cnn;0.746165812;0.60782299;0.019720163
32;40;mel_cnn;0.817515016;0.639854813;0.041784735
32;40;mel_cnn;0.808401883;0.657672679;0.035706302
32;40;mel_cnn;0.81884861;0.662675023;0.047953427
32;50;mel_cnn;0.862858415;0.695772338;0.033709629
32;50;mel_cnn;0.826405883;0.636086428;0.032364686
32;50;mel_cnn;0.844632149;0.666124558;0.037659872
32;70;mel_cnn;0.871527016;0.670589709;0.053068477
32;70;mel_cnn;0.882418334;0.649894977;0.049488872
32;70;mel_cnn;0.8873083;0.694986832;0.044741934
64;30;mel_cnn;0.716603696;0.553691953;0.066038608
64;30;mel_cnn;0.687263846;0.577496094;0.069742224
64;30;mel_cnn;0.678150713;0.57316432;0.062756307
64;40;mel_cnn;0.75350076;0.624564886;0.050064009
64;40;mel_cnn;0.759279847;0.623233783;0.042684781
64;40;mel_cnn;0.780840158;0.635192835;0.061141549
64;50;mel_cnn;0.78950876;0.599037635;0.040449446
64;50;mel_cnn;0.804623246;0.6126688;0.027406102
64;50;mel_cnn;0.783951998;0.608949506;0.050775712
64;70;mel_cnn;0.86308068;0.683259606;0.032690479
64;70;mel_cnn;0.852633893;0.675866985;0.029822871
64;70;mel_cnn;0.856857061;0.655841064;0.045010681
128;30;mel_cnn;0.63302958;0.567597401;0.047543235
128;30;mel_cnn;0.643254042;0.547524524;0.06470829
128;30;mel_cnn;0.62791729;0.525124681;0.070227555
128;40;mel_cnn;0.693709731;0.580581033;0.03601346
